DATE,SMU39171400500000003SA
2007-01-01,21.4391428226079
2007-02-01,21.416869976892603
2007-03-01,21.2717019936805
2007-04-01,21.420677280489603
2007-05-01,21.191785656539302
2007-06-01,21.2409982406199
2007-07-01,21.238885755532202
2007-08-01,21.3684966412135
2007-09-01,21.3243819634145
2007-10-01,21.3495480553612
2007-11-01,21.440665781600302
2007-12-01,21.589704700779098
2008-01-01,21.655381090844802
2008-02-01,21.460604035106602
2008-03-01,21.52702835321
2008-04-01,21.330776457050604
2008-05-01,21.3103407154078
2008-06-01,21.2269794209079
2008-07-01,20.939159538419002
2008-08-01,21.25485880874
2008-09-01,21.2956803930586
2008-10-01,21.369256486846897
2008-11-01,21.3056990662549
2008-12-01,21.2022484592339
2009-01-01,21.244528281622102
2009-02-01,21.385970193237696
2009-03-01,21.362988395105
2009-04-01,21.311290211925897
2009-05-01,21.1654692804489
2009-06-01,21.2092444033198
2009-07-01,21.1913357575356
2009-08-01,21.1147818958755
2009-09-01,21.144412480033
2009-10-01,21.223870079071897
2009-11-01,21.1638942732116
2009-12-01,21.0991458617569
2010-01-01,21.0690930439856
2010-02-01,21.039253532058602
2010-03-01,21.1175259277364
2010-04-01,21.184758716049
2010-05-01,21.3760841957026
2010-06-01,21.3542111368126
2010-07-01,21.3582974553611
2010-08-01,21.3132926184408
2010-09-01,21.3440119379716
2010-10-01,21.3892581119416
2010-11-01,21.5168914837512
2010-12-01,21.6378088190415
2011-01-01,21.6881143459509
2011-02-01,21.846549309308198
2011-03-01,21.8638379906808
2011-04-01,21.883620780229997
2011-05-01,22.0667832861574
2011-06-01,21.987465684752003
2011-07-01,22.0099110176235
2011-08-01,22.1291334179151
2011-09-01,22.0504089528581
2011-10-01,22.3178372289968
2011-11-01,22.0501780246804
2011-12-01,21.820452331125697
2012-01-01,22.0513400510075
2012-02-01,21.9207367839535
2012-03-01,21.9070447134405
2012-04-01,22.2602922272187
2012-05-01,22.2208905345504
2012-06-01,22.315138346142998
2012-07-01,22.627561381580602
2012-08-01,22.461522237039198
2012-09-01,22.5387386649922
2012-10-01,22.409460711010798
2012-11-01,22.4118389225589
2012-12-01,22.6581114912205
2013-01-01,22.659636266420602
2013-02-01,22.7100291589371
2013-03-01,22.649137024724197
2013-04-01,22.6252415489946
2013-05-01,22.7946501854378
2013-06-01,23.057425396058697
2013-07-01,22.950401405981
2013-08-01,22.8871414824492
2013-09-01,23.0943987757756
2013-10-01,23.101880030987502
2013-11-01,23.180524069432202
2013-12-01,23.442441421477
2014-01-01,23.235139975483303
2014-02-01,23.521114266096898
2014-03-01,23.543477868665104
2014-04-01,23.6252163145954
2014-05-01,23.6076076080582
2014-06-01,23.7705076154846
2014-07-01,23.703477989995605
2014-08-01,23.9956309917972
2014-09-01,23.995135828467497
2014-10-01,24.019819331480196
2014-11-01,24.1348132765518
2014-12-01,23.997597968439802
2015-01-01,24.2075023036094
2015-02-01,24.0679330063239
2015-03-01,24.2716860967869
2015-04-01,24.0252619026652
2015-05-01,23.92963046819
2015-06-01,23.950078959287
2015-07-01,24.1197768735569
2015-08-01,24.3442306291958
2015-09-01,24.150557846745702
2015-10-01,24.1640641389915
2015-11-01,24.3998522982684
2015-12-01,24.177007797087697
2016-01-01,24.331126846636895
2016-02-01,24.556377849180798
2016-03-01,24.7415460062541
2016-04-01,24.9377791701165
2016-05-01,25.2709310488942
2016-06-01,25.297918777744197
2016-07-01,25.7712920468113
2016-08-01,25.422395714874803
2016-09-01,25.2939368296062
2016-10-01,25.661146597928198
2016-11-01,25.4383008150139
2016-12-01,25.456002411777
2017-01-01,25.7532118028348
2017-02-01,25.7011748036318
2017-03-01,25.8080266623856
2017-04-01,25.8121202286602
2017-05-01,25.6584327364601
2017-06-01,25.7347659479107
2017-07-01,25.718550300310604
2017-08-01,25.570723847607304
2017-09-01,25.5730425392452
2017-10-01,25.839972878799895
2017-11-01,25.897062061935802
2017-12-01,26.085118278710297
2018-01-01,26.242894096314803
2018-02-01,26.060361712442997
2018-03-01,26.1275292513338
2018-04-01,26.272656314994602
2018-05-01,26.2238416281417
2018-06-01,26.441128803795902
2018-07-01,26.4329101261204
2018-08-01,26.4702764418279
2018-09-01,26.652966685019496
2018-10-01,26.490011248942103
2018-11-01,26.7229244991406
2018-12-01,26.888912742425298
2019-01-01,26.6949355733348
2019-02-01,26.8380127799596
2019-03-01,26.8873187315094
2019-04-01,26.6939223788801
2019-05-01,26.842974234384197
2019-06-01,26.674355307381603
2019-07-01,26.9752839919245
2019-08-01,27.103186544993
2019-09-01,27.131142084710103
2019-10-01,27.024299484219398
2019-11-01,27.0642628731918
2019-12-01,27.597396193367896
2020-01-01,27.240023697535502
2020-02-01,27.340013999903103
2020-03-01,27.3244268197625
2020-04-01,27.9203270723826
2020-05-01,27.6493332055269
2020-06-01,27.2648721109362
2020-07-01,27.622959818295804
2020-08-01,27.8596455156614
2020-09-01,27.7942834880983
2020-10-01,28.004080909137503
2020-11-01,28.104215129089305
2020-12-01,27.6057624485021
2021-01-01,27.9828173741703
2021-02-01,28.4645239049857
2021-03-01,28.126933324959
2021-04-01,28.380458841459497
2021-05-01,29.020308266532396
2021-06-01,28.713952963141303
2021-07-01,28.5122869615333
2021-08-01,28.7194798486486
2021-09-01,28.9394139535302
2021-10-01,29.098580843553
